major_heading,major_heading_Thai,activity_code,met_value,activity_description,activity_description_Thai,target_group
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2280,7.9,"Virtual Reality Fitness,  Supernatural™ “Flow”, “Boxing"" vigorous intensity","ฟิตเนสเสมือนจริง, Supernatural™ “Flow”, “Boxing” ความเข้มข้นสูง",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2284,9.3,"ExerCube, workout series",ExerCube ชุดอุปกรณ์ออกกำลังกาย,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2288,13,"Blackbox Immersive virtual reality exergaming system, vigorous intensity",ระบบเกมออกกำลังกายเสมือนจริงแบบดื่มด่ำ Blackbox ความเข้มข้นสูง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2300,3,"Wand exercise, Life-Build-Line","แบบฝึกหัดไม้กายสิทธิ์, เส้นทางสร้างชีวิต",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2310,6.5,"Zumba, group class",ซุมบ้า คลาสเรียนแบบกลุ่ม,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2315,5.5,"Zumba, home video",ซุมบ้า วิดีโอสำหรับใช้ที่บ้าน,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2340,2.8,"Sit to stand exercise, 6-12 times/min",ออกกำลังกายแบบลุกนั่ง 6-12 ครั้ง/นาที,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2344,4,"Sit to stand exercise, 18-24 times/min",ออกกำลังกายแบบลุกนั่ง 18-24 ครั้ง/นาที,adult
Dancing,เต้น,3005,6,"Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)","ซัลซ่าแอฟโฟร-คิวบา (ชา-ชา-ชาของคิวบา, แมมโบ, จังหวะรุมบาแอฟโฟร, สเต็ปคอนทราตีเอมโป, การเคลื่อนไหวโอริชา/ซันโต)",adult
Dancing,เต้น,3010,5,"Ballet, modern, or jazz general, rehearsal or class",บัลเลต์ โมเดิร์น หรือแจ๊ส ทั่วไป การฝึกซ้อม หรือชั้นเรียน,adult
Dancing,เต้น,3011,6.3,"Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)","แบบฝึกหัดบัลเล่ต์ (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)",adult
Dancing,เต้น,3012,6.8,"Ballet, modern, or jazz, performance, vigorous effort",การแสดงบัลเลต์ โมเดิร์น หรือแจ๊ส ที่ใช้ความพยายามอย่างเต็มที่,adult
Dancing,เต้น,3014,4.8,Tap,แตะ,adult
Dancing,เต้น,3025,4.5,"Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena,  flamenco, belly, and swing)",การเต้นรำตามชาติพันธุ์หรือวัฒนธรรม (เช่น การเต้นรำกรีก ตะวันออกกลาง ฮูล่า ซัลซ่า เมเรนเก้ บัมบา อี เปลนา ฟลาเมงโก เบลลี่แดนซ์ และสวิง),adult
Dancing,เต้น,3028,5.5,"Chinese square dance, Ballet & Tibetan dance",ระบำจีน บัลเลต์ และระบำทิเบต,adult
